  0.00000E+00  0.10000E-01  0.29165E+00 -0.83356E+01
  0.10101E-01  0.10000E-01  0.44558E+01 -0.41270E+01
  0.20202E-01  0.10000E-01  0.36003E+01 -0.16422E+01
  0.30303E-01  0.10000E-01  0.27648E+01 -0.82055E+00
  0.40404E-01  0.10000E-01  0.22262E+01 -0.48314E+00
  0.50505E-01  0.10000E-01  0.18683E+01 -0.31648E+00
  0.60606E-01  0.10000E-01  0.16170E+01 -0.22293E+00
  0.70707E-01  0.10000E-01  0.14318E+01 -0.16545E+00
  0.80808E-01  0.10000E-01  0.12900E+01 -0.12770E+00
  0.90909E-01  0.10000E-01  0.11780E+01 -0.10160E+00
  0.10101E+00  0.10000E-01  0.10873E+01 -0.82823E-01
  0.11111E+00  0.10000E-01  0.10124E+01 -0.68868E-01
  0.12121E+00  0.10000E-01  0.94934E+00 -0.58217E-01
  0.13131E+00  0.10000E-01  0.89556E+00 -0.49902E-01
  0.14141E+00  0.10000E-01  0.84910E+00 -0.43288E-01
  0.15152E+00  0.10000E-01  0.80854E+00 -0.37939E-01
  0.16162E+00  0.10000E-01  0.77278E+00 -0.33553E-01
  0.17172E+00  0.10000E-01  0.74100E+00 -0.29910E-01
  0.18182E+00  0.10000E-01  0.71255E+00 -0.26851E-01
  0.19192E+00  0.10000E-01  0.68691E+00 -0.24257E-01
  0.20202E+00  0.10000E-01  0.66367E+00 -0.22038E-01
  0.21212E+00  0.10000E-01  0.64249E+00 -0.20125E-01
  0.22222E+00  0.10000E-01  0.62309E+00 -0.18463E-01
  0.23232E+00  0.10000E-01  0.60526E+00 -0.17010E-01
  0.24242E+00  0.10000E-01  0.58879E+00 -0.15732E-01
  0.25253E+00  0.10000E-01  0.57352E+00 -0.14603E-01
  0.26263E+00  0.10000E-01  0.55933E+00 -0.13598E-01
  0.27273E+00  0.10000E-01  0.54609E+00 -0.12701E-01
  0.28283E+00  0.10000E-01  0.53370E+00 -0.11897E-01
  0.29293E+00  0.10000E-01  0.52208E+00 -0.11173E-01
  0.30303E+00  0.10000E-01  0.51115E+00 -0.10518E-01
  0.31313E+00  0.10000E-01  0.50085E+00 -0.99240E-02
  0.32323E+00  0.10000E-01  0.49112E+00 -0.93834E-02
  0.33333E+00  0.10000E-01  0.48191E+00 -0.88899E-02
  0.34343E+00  0.10000E-01  0.47317E+00 -0.84380E-02
  0.35354E+00  0.10000E-01  0.46487E+00 -0.80230E-02
  0.36364E+00  0.10000E-01  0.45698E+00 -0.76410E-02
  0.37374E+00  0.10000E-01  0.44945E+00 -0.72886E-02
  0.38384E+00  0.10000E-01  0.44226E+00 -0.69625E-02
  0.39394E+00  0.10000E-01  0.43539E+00 -0.66603E-02
  0.40404E+00  0.10000E-01  0.42881E+00 -0.63795E-02
  0.41414E+00  0.10000E-01  0.42251E+00 -0.61182E-02
  0.42424E+00  0.10000E-01  0.41646E+00 -0.58745E-02
  0.43434E+00  0.10000E-01  0.41065E+00 -0.56468E-02
  0.44444E+00  0.10000E-01  0.40506E+00 -0.54338E-02
  0.45455E+00  0.10000E-01  0.39967E+00 -0.52341E-02
  0.46465E+00  0.10000E-01  0.39449E+00 -0.50465E-02
  0.47475E+00  0.10000E-01  0.38948E+00 -0.48702E-02
  0.48485E+00  0.10000E-01  0.38465E+00 -0.47042E-02
  0.49495E+00  0.10000E-01  0.37998E+00 -0.45477E-02
  0.50505E+00  0.10000E-01  0.37547E+00 -0.43998E-02
  0.51515E+00  0.10000E-01  0.37110E+00 -0.42601E-02
  0.52525E+00  0.10000E-01  0.36686E+00 -0.41278E-02
  0.53535E+00  0.10000E-01  0.36276E+00 -0.40025E-02
  0.54545E+00  0.10000E-01  0.35878E+00 -0.38836E-02
  0.55556E+00  0.10000E-01  0.35491E+00 -0.37707E-02
  0.56566E+00  0.10000E-01  0.35116E+00 -0.36633E-02
  0.57576E+00  0.10000E-01  0.34752E+00 -0.35611E-02
  0.58586E+00  0.10000E-01  0.34397E+00 -0.34638E-02
  0.59596E+00  0.10000E-01  0.34052E+00 -0.33709E-02
  0.60606E+00  0.10000E-01  0.33716E+00 -0.32823E-02
